# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.970617711544036865e-01 6.792826950550079346e-02 2.911443412303924561e-01 6.792826950550079346e-02
5.000000000000000000e+02 1.335043343715369701e-04 4.138399526709690690e-05 8.879644883563742042e-05 4.138399526709690690e-05
1.000000000000000000e+03 5.231759860180318356e-05 1.639128822716884315e-05 1.788798181223683059e-05 1.639128822716884315e-05
1.500000000000000000e+03 3.608050974435172975e-05 8.189780601242091507e-06 8.049242751440033317e-06 8.189780601242091507e-06
2.000000000000000000e+03 2.531764221203047782e-05 4.308431925892364234e-06 4.186890691926237196e-06 4.308431925892364234e-06
2.500000000000000000e+03 1.706692273728549480e-05 2.422548277536407113e-06 2.452031367283780128e-06 2.422548277536407113e-06
3.000000000000000000e+03 1.077748220268404111e-05 1.398414724462782033e-06 1.597559048605035059e-06 1.398414724462782033e-06
3.500000000000000000e+03 6.239381491468520835e-06 7.761843221487652045e-07 1.069764607564138714e-06 7.761843221487652045e-07
4.000000000000000000e+03 3.578732867026701570e-05 5.782737844128860161e-06 3.332316555315628648e-05 5.782737844128860161e-06
4.500000000000000000e+03 5.089018031867453828e-06 8.371068247470248025e-07 3.799338628596160561e-06 8.371068247470248025e-07
5.000000000000000000e+03 9.741182793732150458e-07 1.370557498603375279e-07 2.625804143008281244e-07 1.370557498603375279e-07
